iso_code,country_name,year,UN_subregion,UN_region,SDG_region,UNICEF_region,WHO_region,WB_income_group,WB_region,survey_sample_size,severe_wasting,wasting,overweight,stunting,underweight,notes,report_author,source,under5,moderate_wasting,stunting_children,wasting_children,severe_wasting_children,moderate_wasting_children,overweight_children,underweight_children,severe_wasting_needs_kg,moderate_wasting_needs_kg,wasting_needs_kg,stunting_needs_kg
DZA,ALGERIA,2000,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,4178.0,1.1,3.1,14.7,23.6,5.4,0,Minstère de la Santé et de la Population.,"Enquête nationale sur les objectives de la fin décennie santé mère et enfant EDG Algérie 2000 (MICS). Institut National de Santé Publique. République Algérienne Démocratique et Populaire, 2001 (and additional analysis).",3087830,2.0,728727,95722,33966,61756,453911,166742,459559,385975,845534,2623417
DZA,ALGERIA,2002,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,4419.0,5.1,9.6,14.7,23.3,11.1,0,"Ministère de la Santé, de la Population et de la Réforme Hospitalière et l'Office National des Statistiques.","Enquête Algérienne sur la santé de la famille-2002: Rapport principal. Alger, Algérie: Agence Nationale de la Documentation en Santé, 2004 (and additional analysis).",2885609,4.5,672346,277018,147166,129852,424184,320302,1991155,811575,2802730,2420445
DZA,ALGERIA,2005,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,13976.0,1.6,4.0,12.9,15.9,3.7,0,"Ministère de la Santé de la Population et de la Réforme Hospitalière, Office National des Statistiques.","Suivi de la situation des enfant et des femmes. Enquête nationale à indicateurs multiples: Rapport principal. MICS3. République Algérienne Démocratique et Populaire, Décembre 2008 (and additional analysis).",2964659,2.4,471380,118586,47434,71151,382441,109692,641782,444693,1086475,1696968
DZA,ALGERIA,2012,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,13860.0,1.4,4.1,12.4,11.7,3.0,0,"Ministère de la Santé, de la Population et de la Réforme Hospitalière.","République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé, de la Population et de la Réforme Hospitalière, 2015.",4340456,2.6999999999999997,507833,177958,60766,117192,538216,130213,822163,732450,1554613,1828198
AGO,ANGOLA,1996,Middle Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,3016.0,3.3,8.6,1.6,61.7,37.0,0,"Instituto Nacional de Estatistica, UNICEF ","Inquerito de indicadores multiplos (MICS) 1996. Instituto Nacional de Estatistica - Gabinete de Monitorizaçao das Condiçoes de Vida da Populaçao. Luanda, Angola, 1999 (and additional analysis).",2875530,5.3,1774202,247295,94892,152403,46008,1063946,1283888,952518,2236406,6387127
AGO,ANGOLA,2007,Middle Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,10224.0,4.3,8.2,0.0,29.2,15.6,0,Ministerio da Saude.,"Relatorio do inquerito sobre a nutriçao em Angola 2007. Luanda, Republica de Angola: Ministerio da Saude, Direcçao nacional de Saude Publica, 2008.",4091763,3.8999999999999995,1194794,335524,175945,159578,0,638315,2380535,997362,3377897,4301258
AGO,ANGOLA,2016,Middle Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,7468.0,1.0,4.9,3.3,37.6,19.0,(pending reanalysis),"Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN) and ICF International.","Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN) and ICF International.",5277121,3.9000000000000004,1984197,258578,52771,205807,174144,1002652,713991,1286293,2000284,7143109
ARG,ARGENTINA,1994,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,5296.0,0.0,1.6,11.1,7.1,1.7,Converted estimates,"Lejarraga H, Krupitzky S, Gimenez E, Diament N, Kelmansky A, Tibaldi F, et al.",The organisation of a national survey for evaluating child psychomotor development in Argentina. Paediatric and Perinatal Epidemiology 1997;11:359-373 (and additional analysis).,3523021,0.0,250134,56368,0,0,391055,59891,0,0,0,900482
ARG,ARGENTINA,1996,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,91943.0,0.0,4.2,13.5,16.9,4.7,Converted estimates,"Calvo EB, Longo EN et al.","Encuesta antropometrica en menores de 6 años bajo programa materno infantil. In: Estudios antropometricos en la poblacion infanto-juvenil. Rep. Argentina 1993-1996. Ministerio de Salud y Accion Social. Buenos Aires, 1999 (and additional analysis).",3514068,0.0,593877,147590,0,0,474399,165161,0,0,0,2137957
ARG,ARGENTINA,2005,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,999999.0,0.2,1.2,9.9,8.2,2.3,0,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA.",Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS). Archivos Argentinos de Pediatria 2009;107:397-404 (and additional analysis).,3594875,1.0,294779,43138,7189,35948,355892,82682,97267,224675,321942,1061204
ARM,ARMENIA,1998,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,3241.0,1.0,3.3,10.8,15.1,2.7,0,National Institute of Nutrition,"The health and nutritional status of children an women in Armenia. National Institute of Nutrition - Italy, 1998 (and additional analysis).",222671,2.3,33623,7348,2226,5121,24048,6012,30117,32006,62123,121042
ARM,ARMENIA,2000,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,1486.0,0.7,2.5,16.0,17.7,2.6,0,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2000. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2001 (and additional analysis).",196554,1.8,34790,4913,1375,3537,31448,5110,18603,22106,40709,125244
ARM,ARMENIA,2005,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,1377.0,2.6,5.5,11.7,18.2,4.2,0,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006 (and additional analysis).",186628,2.9,33966,10264,4852,5412,21835,7838,65647,33825,99472,122277
ARM,ARMENIA,2010,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,1401.0,2.0,4.2,16.8,20.8,5.3,0,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF International.","Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012 (and additional analysis).",201083,2.2,41825,8445,4021,4423,33781,10657,54404,27643,82047,150570
ARM,ARMENIA,2016,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,1609.0,1.5,4.2,13.6,9.4,2.6,(pending reanalysis),"National Statistical Service Armenia, Yerevan; Ministry of Health Armenia, Yerevan; The DHS Program ICF International Rockville Maryland",Armenia Demographic and Health Survey 2015-16 Key Indicators Report. September 2016,202198,2.7,19006,8492,3032,5459,27498,5257,41022,34118,75140,68421
AUS,AUSTRALIA,1995,Australia/New Zealand,Oceania,Australia and New Zealand,East Asia and Pacific,WPRO,High Income,East Asia & Pacific,1036810.0,0.0,0.0,7.9,0.0,0.0,Age-adjusted; converted estimates,0,"National nutrition survey Australia 1995. Canberra: Australian Bureau of Statistics and Commonwealth Department of Health and Family Services, 1997 (and additional analysis).",1303522,0.0,0,0,0,0,102978,0,0,0,0,0
AUS,AUSTRALIA,2007,Australia/New Zealand,Oceania,Australia and New Zealand,East Asia and Pacific,WPRO,High Income,East Asia & Pacific,1007.0,0.0,0.0,7.7,2.0,0.2,Age-adjusted,Australian Bureau of Statistics and Commonwealth Department of Health and Family Services,"The 2007 national children's nutrition and physical activity survey. Canberra, Australia: DoHA, 2010 (and additional analysis).",1329367,0.0,26587,0,0,0,102361,2658,0,0,0,95713
AZE,AZERBAIJAN,1996,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,500.0,0.0,3.8,6.1,28.0,8.8,Converted estimates,"Branca F, Burkholder B, Hamel M, Parvanta I, Robertson A.","Health and nutrition survey of internally displaced and resident population of Azerbaijan - April 1996. Baku, Azerbaijan, 1996 (and additional analysis).",855429,0.0,239520,32506,0,0,52181,75277,0,0,0,862272
AZE,AZERBAIJAN,2000,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,1789.0,4.1,9.0,6.2,24.1,14.0,0,"State Statistics Committee, United Nations Children's Fund","Azerbaijan multiple indicator cluster survey 2000 (MICS). Baku, Azerbaijan: United Nations Children's Fund, 2001 (and additional analysis).",712543,4.9,171722,64128,29214,34914,44177,99756,395265,218212,613477,618199
AZE,AZERBAIJAN,2001,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2426.0,0.0,3.2,4.4,18.0,5.9,Converted estimates,"Adventist Development and Relief Agency, Azerbaijan Ministry of Health, State Committee of Statistics, Mercy Corps [Baku, Azerbaijan], DRH/CDC, USAID,","UNFPA, UNHCR. Reproductive health survey Azerbaijan, 2001: Final report. Serbanescu F, Morris L, Rahimova S, Stupp P, eds. Atlanta, GA: US Department of Health and Human Services, CDC, 2003 (and additional analysis).",674064,0.0,121331,21570,0,0,29658,39769,0,0,0,436791
AZE,AZERBAIJAN,2006,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2127.0,2.2,6.8,13.9,26.8,8.4,0,State Statistical Committee (SSC) [Azerbaijan] and Macro International Inc.,"Azerbaijan demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008 (and additional analysis).",656861,4.6,176038,44666,14450,30215,91303,55176,195508,188843,384351,633736
AZE,AZERBAIJAN,2011,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2505.0,2.9,6.6,10.4,16.4,6.5,(pending reanalysis),"Public Health and Reforms Center (PHRC) [Azerbaijan]; Ministry of Health (MoH) [Azerbaijan], Baku, Azerbaijan","The Demographic and Health Survey, Azerbaijan, 2011 Final Report",734926,3.6999999999999997,120527,48505,21312,27192,76432,47770,288351,169950,458301,433897
AZE,AZERBAIJAN,2013,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,1569.0,1.1,3.1,13.0,18.0,4.9,0,"Ministry of Health, State Statistical Committee and UNICEF [Azerbaijan].","Azerbaijan nutrition survey  (AzNS), 2013. Baku, Republic of Azerbaijan, 2014.",813868,2.0,146496,25229,8952,16277,105802,39879,121120,101731,222851,527385
BHR,BAHRAIN,1989,Western Asia,Asia,Western Asia and Northern Africa,Middle East and North Africa,EMRO,High Income,Middle East & North Africa,2033.0,0.0,6.8,7.5,13.9,6.3,Converted estimates,Ministry of Health.,"Bahrain child health survey 1989. Manama, Bahrain, 1992.",65456,0.0,9098,4451,0,0,4909,4123,0,0,0,32752
BHR,BAHRAIN,1995,Western Asia,Asia,Western Asia and Northern Africa,Middle East and North Africa,EMRO,High Income,Middle East & North Africa,673.0,0.0,6.6,0.0,13.6,7.6,Converted estimates (Bahraini),Naseeb T and Farid SM.,"Bahrain family health survey 1995: principal report. Manama, Bahrain: Ministry of Health, 2000.",61291,0.0,8335,4045,0,0,0,4658,0,0,0,30006
BGD,BANGLADESH,1986,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2675.0,0.0,17.3,0.2,70.9,66.8,Converted estimates,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status module, Bangladesh household expenditure survey 1985-86. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1987 (and additional analysis).",15921293,0.0,11288196,2754383,0,0,31842,10635423,0,0,0,40637505
BGD,BANGLADESH,1990,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,1914.0,0.0,17.5,0.6,63.4,61.5,Converted estimates,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status survey 1989-90. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1991 (and additional analysis).",16461413,0.0,10436535,2880747,0,0,98768,10123768,0,0,0,37571526
BGD,BANGLADESH,1991,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,32493.0,2.6,15.2,0.3,73.6,61.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1991: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16573078,12.6,12197785,2519107,430900,2088207,49719,10142723,5830077,13051293,18881370,43912026
BGD,BANGLADESH,1992,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,36997.0,3.0,16.1,0.2,71.5,60.6, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1992: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16611504,13.100000000000001,11877225,2674452,498345,2176107,33223,10066571,6742607,13600668,20343275,42758010
BGD,BANGLADESH,1993,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,42826.0,2.5,14.0,0.4,69.2,56.1, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1993: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16603450,11.5,11489587,2324483,415086,1909396,66413,9314535,5616113,11933725,17549838,41362513
BGD,BANGLADESH,1994,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,63753.0,3.2,16.7,0.2,67.3,58.0, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1994: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16591037,13.5,11165767,2770703,530913,2239789,33182,9622801,7183252,13998681,21181933,40196761
BGD,BANGLADESH,1995,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,87051.0,2.7,15.1,0.2,65.8,55.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1995: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16608371,12.399999999999999,10928308,2507864,448426,2059438,33216,9167820,6067203,12871487,18938690,39341908
BGD,BANGLADESH,1996,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,81067.0,2.8,15.5,0.3,63.8,54.0, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1996: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16641067,12.7,10617000,2579365,465949,2113415,49923,8986176,6304289,13208843,19513132,38221200
BGD,BANGLADESH,1997,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,4781.0,6.6,20.6,1.7,59.7,52.5,0,"National Institute of Population Research and Training, Mitra and Associates and Macro International Inc.","Bangladesh demographic and health survey 1996-97. Demographic and Health Surveys. National Institute for Population Research and Training. Dhaka, Bangladesh, 1997 (and additional analysis).",16684087,14.000000000000002,9960399,3436921,1101149,2335772,283629,8759145,14898545,14598575,29497120,35857436
BGD,BANGLADESH,1998,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,49496.0,2.3,15.0,0.2,59.3,50.7, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1998: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16734685,12.7,9923668,2510202,384897,2125304,33469,8484485,5207656,13283150,18490806,35725204
BGD,BANGLADESH,1999,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,49374.0,2.0,13.7,0.6,59.9,49.5, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1999: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16779926,11.7,10051175,2298849,335598,1963251,100679,8306063,4540640,12270318,16810958,36184230
BGD,BANGLADESH,2000,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,6010.0,2.5,12.5,0.9,50.8,42.3,0,"National Institute of Population Research and Training, Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 1999-2000 (DHS). Dhaka, Bangladesh and Calverton, Maryland: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro, 2001 (and additional analysis).",16814042,10.0,8541533,2101755,420351,1681404,151326,7112339,5687349,10508775,16196124,30749518
BGD,BANGLADESH,2001,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,63444.0,2.3,12.7,0.9,53.2,43.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2001: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16914644,10.399999999999999,8998590,2148159,389036,1759122,152231,7307126,5263657,10994512,16258169,32394924
BGD,BANGLADESH,2002,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,53315.0,2.1,12.4,1.0,51.4,41.0, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2002: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16952624,10.3,8713648,2102125,356005,1746120,169526,6950575,4816747,10913250,15729997,31369132
BGD,BANGLADESH,2003,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,86999.0,2.1,12.5,1.0,47.8,38.9, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2003: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16933024,10.4,8093985,2116628,355593,1761034,169330,6586946,4811173,11006462,15817635,29138346
BGD,BANGLADESH,2004,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,6147.0,3.5,14.6,0.9,50.5,42.7,0,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 2004. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland [USA]: NIPORT, Mitra and Associates, and ORC Macro, 2005 (and additional analysis).",16860593,11.1,8514599,2461646,590120,1871525,151745,7199473,7984323,11697031,19681354,30652556
BGD,BANGLADESH,2005,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,74758.0,1.9,11.8,1.0,45.9,37.3, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) and Institute of Public Health Nutrition.,"Nutritional Surveillance Project 2005: Rural data (using the WHO Child Growth Standards). Unpublished estimates. Dhakar, Bangladesh: HKI and Institute of Public Health Nutrition, 2007.",16744481,9.9,7685716,1975848,318145,1657703,167444,6245691,4304501,10360643,14665144,27668577
BGD,BANGLADESH,2006,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,24302.0,1.6,11.9,0.8,45.1,37.9, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2006: data on rural national data (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008 (and additional analysis).",16676260,10.3,7520993,1984474,266820,1717654,133410,6320302,3610074,10735337,14345411,27075574
BGD,BANGLADESH,2007,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,5495.0,2.9,17.5,1.1,43.2,41.3,0,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International.","Bangladesh demographic and health survey 2007. DHS. Dhaka, Bangladesh and Calverton, Maryland, USA: National Institute of Population Research and Training, Mitra and Associates, and Macro International, 2009 (and additional analysis).",16502793,14.6,7129206,2887988,478580,2409407,181530,6815653,6475187,15058793,21533980,25665141
BGD,BANGLADESH,2011,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,8070.0,4.1,15.7,1.9,41.4,36.8,0,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh demographic and health survey 2011. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, Mitra and Associates, and ICF International, 2013 (and additional analysis).",15607968,11.6,6461698,2450450,639926,1810524,296551,5743732,8658198,11315775,19973973,23262112
